fold,model,scenario,k,status,train_expected_risk,cutpoints,weeks,counts,repeat,scale,effective_groups,merged_cuts,merged_weeks,merged_counts,fraction_at_25,mean_week
0,q2,medium_delay,4,bootstrap_conditional,0.3025915811003504,"[29.334636189999998, 30.519692062512547, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[59, 64, 108, 36]",10,0.0,1,[],[12.857142857142858],[267],0.0,12.857142857142858
0,q2,high_delay,4,bootstrap_conditional,0.3201056058740445,"[28.71709879, 29.55072956140705, 30.406106735]","[11.0, 11.0, 11.0, 11.0]","[34, 39, 37, 157]",10,0.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1486975823867392,"[28.56652825177255, 29.20491842677795, 30.44797393]","[25.0, 25.0, 25.0, 25.0]","[26, 30, 56, 155]",10,0.0,1,[],[25.0],[267],1.0,25.0
0,q3_basic,low_delay,4,bootstrap_conditional,0.2183525766014679,"[28.71709879, 29.334636189999998, 30.44797393]","[12.857142857142858, 25.0, 25.0, 25.0]","[34, 25, 53, 155]",10,0.0,2,[28.71709879],"[12.857142857142858, 25.0]","[34, 233]",0.8726591760299626,23.453718566078116
0,q3_basic,medium_delay,4,bootstrap_conditional,0.3044371408247001,"[28.62684680525625, 30.1522985168424, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[29, 72, 130, 36]",10,0.0,1,[],[12.857142857142858],[267],0.0,12.857142857142858
0,q3_basic,high_delay,4,bootstrap_conditional,0.3228995399537598,"[28.71709879, 29.55072956140705, 30.406106735]","[11.0, 11.0, 11.0, 11.0]","[34, 39, 37, 157]",10,0.0,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1538208126849188,"[28.71709879, 30.2646582128532, 34.492691086543104]","[25.0, 25.0, 25.0, 25.0]","[34, 71, 116, 46]",10,0.5,1,[],[25.0],[267],1.0,25.0
0,q2,low_delay,4,bootstrap_conditional,0.2232980017812059,"[28.56652825177255, 29.20491842677795, 30.47595403]","[12.857142857142858, 25.0, 25.0, 25.0]","[26, 30, 59, 152]",10,0.5,2,[28.56652825177255],"[12.857142857142858, 25.0]","[26, 241]",0.9026217228464419,23.817549491706796
0,q2,medium_delay,4,bootstrap_conditional,0.2955691219507053,"[28.907467955, 30.519692062512547, 35.5985534521325]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[37, 86, 112, 32]",10,0.5,1,[],[12.857142857142858],[267],0.0,12.857142857142858
0,q2,high_delay,4,bootstrap_conditional,0.3091042930814734,"[28.71709879, 29.55072956140705, 30.406106735]","[11.0, 11.0, 11.0, 11.0]","[34, 39, 37, 157]",10,0.5,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1531355921490454,"[28.56652825177255, 29.37857702, 32.54021816248835]","[25.0, 25.0, 25.0, 25.0]","[26, 37, 115, 89]",10,0.5,1,[],[25.0],[267],1.0,25.0
0,q3_basic,low_delay,4,bootstrap_conditional,0.2223557065416675,"[28.71709879, 29.334636189999998, 30.519692062512547]","[12.857142857142858, 25.0, 25.0, 25.0]","[34, 25, 64, 144]",10,0.5,2,[28.71709879],"[12.857142857142858, 25.0]","[34, 233]",0.8726591760299626,23.453718566078116
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2972574875583617,"[28.56652825177255, 29.10103014, 29.7458871954643]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[26, 25, 25, 191]",10,0.5,1,[],[12.857142857142858],[267],0.0,12.857142857142858
0,q3_basic,high_delay,4,bootstrap_conditional,0.3115745022141996,"[28.71709879, 29.55072956140705, 30.406106735]","[11.0, 11.0, 11.0, 11.0]","[34, 39, 37, 157]",10,0.5,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1541882733004657,"[28.62684680525625, 29.8182661822407, 34.61093289232065]","[25.0, 25.0, 25.0, 25.0]","[29, 59, 134, 45]",10,1.0,1,[],[25.0],[267],1.0,25.0
0,q2,low_delay,4,bootstrap_conditional,0.2241882733004654,"[28.71709879, 29.55072956140705, 30.6453224487093]","[25.0, 25.0, 25.0, 25.0]","[34, 39, 55, 139]",10,1.0,1,[],[25.0],[267],1.0,25.0
0,q2,medium_delay,4,bootstrap_conditional,0.2982235502830692,"[28.813373329999997, 30.1522985168424, 35.1705589940727]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[35, 66, 130, 36]",10,1.0,1,[],[12.857142857142858],[267],0.0,12.857142857142858
0,q2,high_delay,4,bootstrap_conditional,0.3122182352499422,"[28.71709879, 29.55072956140705, 30.406106735]","[11.0, 11.0, 11.0, 11.0]","[34, 39, 37, 157]",10,1.0,1,[],[11.0],[267],0.0,11.0
0,q3_basic,step_only,4,bootstrap_conditional,0.1535858464331702,"[28.56652825177255, 29.26591345677795, 32.3282979883502]","[25.0, 25.0, 25.0, 25.0]","[26, 31, 111, 99]",10,1.0,1,[],[25.0],[267],1.0,25.0
0,q3_basic,low_delay,4,bootstrap_conditional,0.2234720407470448,"[28.56652825177255, 29.20491842677795, 30.47595403]","[12.857142857142858, 25.0, 25.0, 25.0]","[26, 30, 59, 152]",10,1.0,2,[28.56652825177255],"[12.857142857142858, 25.0]","[26, 241]",0.9026217228464419,23.817549491706796
0,q3_basic,medium_delay,4,bootstrap_conditional,0.2995216008087066,"[28.56652825177255, 30.0196636680224, 30.483268680000002]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 12.857142857142858]","[26, 66, 30, 145]",10,1.0,1,[],[12.857142857142858],[267],0.0,12.857142857142858
0,q3_basic,high_delay,4,bootstrap_conditional,0.3141726457220534,"[28.71709879, 29.55072956140705, 30.406106735]","[11.0, 11.0, 11.0, 11.0]","[34, 39, 37, 157]",10,1.0,1,[],[11.0],[267],0.0,11.0
0,q2,step_only,4,bootstrap_conditional,0.1625643408062708,"[28.62684680525625, 29.9478781980224, 34.392796086077254]","[25.0, 25.0, 25.0, 25.0]","[29, 62, 129, 47]",10,1.5,1,[],[25.0],[267],1.0,25.0
