fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts
4,q2,step_only,3,model_dependent,0.15923312937805736,0.1589012544769743,53,0,"[29.20491842677795, 30.456294565]","[25.0, 25.0, 25.0]","[38, 46, 130]"
4,q2,step_only,4,model_dependent,0.15923312937805736,0.1589012544769743,53,0,"[29.20491842677795, 30.456294565, 33.1117307459062]","[25.0, 25.0, 25.0, 25.0]","[38, 46, 67, 63]"
4,q2,low_delay,1,model_dependent,0.2103782866493902,0.2104053243334048,53,0,[],[12.857142857142858],[214]
4,q2,low_delay,3,model_dependent,0.20551448744303483,0.2057730272199913,53,0,"[28.9759443680863, 33.82618036210485]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 144, 45]"
4,q2,low_delay,4,model_dependent,0.2055144874430348,0.2057730272199913,53,0,"[28.9759443680863, 30.18303856416215, 33.82618036210485]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 49, 95, 45]"
4,q2,medium_delay,1,model_dependent,0.23395938586265005,0.23410835274665312,53,0,[],[11.0],[214]
4,q2,medium_delay,3,model_dependent,0.233543171820419,0.23369338140492854,53,0,"[33.4651615552023, 35.10594088]","[11.0, 11.571428571428571, 12.857142857142858]","[164, 25, 25]"
4,q2,medium_delay,4,model_dependent,0.233543171820419,0.23369338140492854,53,0,"[29.0780592777865, 33.4651615552023, 35.10594088]","[11.0, 11.0, 11.571428571428571, 12.857142857142858]","[32, 132, 25, 25]"
4,q2,high_delay,1,model_dependent,0.23395938586265005,0.23410835274665312,53,0,[],[11.0],[214]
4,q2,high_delay,3,model_dependent,0.23395938586265005,0.23410835274665312,53,0,"[29.0780592777865, 29.80803022604035]","[11.0, 11.0, 11.0]","[32, 28, 154]"
4,q2,high_delay,4,model_dependent,0.23395938586265005,0.23410835274665312,53,0,"[29.0780592777865, 29.80803022604035, 31.10374034281495]","[11.0, 11.0, 11.0, 11.0]","[32, 28, 40, 114]"
4,q3_basic,step_only,1,model_dependent,0.15900254056774174,0.16207870503125102,53,0,[],[25.0],[214]
4,q3_basic,step_only,3,model_dependent,0.15900254056774174,0.16207870503125102,53,0,"[29.20491842677795, 30.456294565]","[25.0, 25.0, 25.0]","[38, 46, 130]"
4,q3_basic,step_only,4,model_dependent,0.15900254056774174,0.16207870503125102,53,0,"[29.20491842677795, 30.456294565, 33.1117307459062]","[25.0, 25.0, 25.0, 25.0]","[38, 46, 67, 63]"
4,q3_basic,low_delay,1,model_dependent,0.21068081569135408,0.21782825069279044,53,0,[],[12.857142857142858],[214]
4,q3_basic,low_delay,3,model_dependent,0.20496573568373205,0.2127763643998762,53,0,"[28.9759443680863, 33.400077130867246]","[12.857142857142858, 12.857142857142858, 25.0]","[25, 138, 51]"
4,q3_basic,low_delay,4,model_dependent,0.20496573568373205,0.2127763643998762,53,0,"[28.9759443680863, 31.6993715345789, 33.400077130867246]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 90, 48, 51]"
4,q3_basic,medium_delay,1,model_dependent,0.23444806897973333,0.24218780457629072,53,0,[],[11.0],[214]
4,q3_basic,medium_delay,3,model_dependent,0.23391173623738645,0.2417032220139694,53,0,"[33.400077130867246, 35.02941549]","[11.0, 11.857142857142858, 12.857142857142858]","[163, 25, 26]"
4,q3_basic,medium_delay,4,model_dependent,0.23391173623738645,0.2417032220139694,53,0,"[29.0780592777865, 33.400077130867246, 35.02941549]","[11.0, 11.0, 11.857142857142858, 12.857142857142858]","[32, 131, 25, 26]"
4,q3_basic,high_delay,1,model_dependent,0.23444806897973333,0.24218780457629072,53,0,[],[11.0],[214]
4,q3_basic,high_delay,3,model_dependent,0.23444806897973333,0.24218780457629072,53,0,"[29.0780592777865, 29.80803022604035]","[11.0, 11.0, 11.0]","[32, 28, 154]"
4,q3_basic,high_delay,4,model_dependent,0.23444806897973333,0.24218780457629072,53,0,"[29.0780592777865, 29.80803022604035, 31.10374034281495]","[11.0, 11.0, 11.0, 11.0]","[32, 28, 40, 114]"
4,q3_full,step_only,1,model_dependent,0.15936192879327427,0.16345375750577654,53,0,[],[25.0],[214]
4,q3_full,step_only,3,model_dependent,0.15936192879327427,0.16345375750577654,53,0,"[29.20491842677795, 30.456294565]","[25.0, 25.0, 25.0]","[38, 46, 130]"
4,q3_full,step_only,4,model_dependent,0.15936192879327427,0.16345375750577654,53,0,"[29.20491842677795, 30.456294565, 33.1117307459062]","[25.0, 25.0, 25.0, 25.0]","[38, 46, 67, 63]"
4,q3_full,low_delay,1,model_dependent,0.2097183608531987,0.21850815134278975,53,0,[],[12.857142857142858],[214]
4,q3_full,low_delay,3,model_dependent,0.2035624090725141,0.2099141338921132,53,0,"[29.152824510000002, 33.51725612668065]","[12.857142857142858, 12.857142857142858, 25.0]","[36, 129, 49]"
4,q3_full,low_delay,4,model_dependent,0.2035624090725141,0.2099141338921132,53,0,"[28.9759443680863, 29.7458871954643, 33.51725612668065]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 25.0]","[25, 29, 111, 49]"
4,q3_full,medium_delay,1,model_dependent,0.23303543389064169,0.24240913073621767,53,0,[],[11.0],[214]
4,q3_full,medium_delay,3,model_dependent,0.23253716089480492,0.24159064429060667,53,0,"[29.0780592777865, 33.82618036210485]","[11.0, 11.0, 12.857142857142858]","[32, 137, 45]"
4,q3_full,medium_delay,4,model_dependent,0.2325371608948049,0.24159064429060667,53,0,"[29.152824510000002, 30.406106735, 33.82618036210485]","[11.0, 11.0, 11.0, 12.857142857142858]","[36, 44, 89, 45]"
