fold,model,scenario,k,status,train_expected_risk,heldout_expected_risk,heldout_subjects,heldout_outside_bmi_range,cutpoints,weeks,counts,effective_groups,merged_cutpoints,merged_weeks,merged_counts,boundary_groups
3,q3_basic,medium_delay,1,model_dependent,0.2064487437861444,0.2012471133215608,53,0,[],[11.0],[214],1,[],[11.0],[214],1
3,q3_basic,medium_delay,3,model_dependent,0.205994009821791,0.2010916199707518,53,0,"[29.130029079670052, 35.55795257478585]","[11.0, 11.0, 12.857142857142858]","[30, 158, 26]",2,[35.55795257478585],"[11.0, 12.857142857142858]","[188, 26]",1
3,q3_basic,medium_delay,4,model_dependent,0.205994009821791,0.2010916199707518,53,0,"[29.130029079670052, 30.2798105797449, 35.55795257478585]","[11.0, 11.0, 11.0, 12.857142857142858]","[30, 40, 118, 26]",2,[35.55795257478585],"[11.0, 12.857142857142858]","[188, 26]",1
3,q3_basic,high_delay,1,model_dependent,0.2064487437861444,0.2012471133215608,53,0,[],[11.0],[214],1,[],[11.0],[214],1
3,q3_basic,high_delay,3,model_dependent,0.2064487437861444,0.2012471133215608,53,0,"[29.130029079670052, 30.2798105797449]","[11.0, 11.0, 11.0]","[30, 40, 144]",1,[],[11.0],[214],1
3,q3_basic,high_delay,4,model_dependent,0.2064487437861444,0.2012471133215608,53,0,"[29.130029079670052, 30.2798105797449, 31.247618505]","[11.0, 11.0, 11.0, 11.0]","[30, 40, 33, 111]",1,[],[11.0],[214],1
3,q3_full,step_only,1,model_dependent,0.1515537913047545,0.1497083803667075,53,0,[],[25.0],[214],1,[],[25.0],[214],1
3,q3_full,step_only,3,model_dependent,0.1488202043010842,0.1505149343629654,53,0,"[29.35954207201715, 30.46963577]","[12.857142857142858, 25.0, 25.0]","[37, 43, 134]",2,[29.35954207201715],"[12.857142857142858, 25.0]","[37, 177]",1
3,q3_full,step_only,4,model_dependent,0.1481714253736484,0.1501309212899991,53,0,"[29.35954207201715, 30.3483792711496, 31.145124715]","[12.857142857142858, 24.857142857142858, 12.857142857142858, 25.0]","[37, 35, 26, 116]",4,"[29.35954207201715, 30.3483792711496, 31.145124715]","[12.857142857142858, 24.857142857142858, 12.857142857142858, 25.0]","[37, 35, 26, 116]",1
3,q3_full,low_delay,1,model_dependent,0.1848016251122571,0.1816005935229164,53,0,[],[12.857142857142858],[214],1,[],[12.857142857142858],[214],0
3,q3_full,low_delay,3,model_dependent,0.1806546444938921,0.1806170897277785,53,0,"[28.95839341789075, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 24.857142857142858]","[26, 162, 26]",2,[35.55795257478585],"[12.857142857142858, 24.857142857142858]","[188, 26]",0
3,q3_full,low_delay,4,model_dependent,0.180654644493892,0.1806170897277785,53,0,"[29.35954207201715, 30.48501834, 35.55795257478585]","[12.857142857142858, 12.857142857142858, 12.857142857142858, 24.857142857142858]","[37, 48, 103, 26]",2,[35.55795257478585],"[12.857142857142858, 24.857142857142858]","[188, 26]",0
